 NH         NO                                          HNNO                                                    0.163E-30 -0.260E+01  0.915E+03  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO2        H                                           HONO                                                    0.743E-33 -0.150E+01  0.452E+03  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO         OOH                                         HNO3                                                    0.885E-32 -0.350E+01  0.111E+04  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C          N2                                          CNN                                                     0.309E-32  0.000E+00  0.000E+00  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H          H                                           H2                                                      0.172E-31 -0.100E+01  0.000E+00  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  2.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H          O3P                                         OH                                                      0.109E-30 -0.100E+01  0.000E+00  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H          OH                                          H2O                                                     0.170E-29 -0.200E+01  0.000E+00  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  2.550e+00  3.000e+00  1.000e+00  3.000e+00  1.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CO         O3P                                         CO2                                                     0.425E-32  0.000E+00  0.151E+04  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 O3P        O3P                                         O2                                                      0.149E-33  0.000E+00 -0.900E+03  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
