 CH3                                                    3CH2       H                                            0.483E-07  0.000E+00  0.456E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2H2                                                   C2H        H                                            0.189E-06  0.000E+00  0.538E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2H4                                                   C2H2       H2                                           0.166E-06  0.000E+00  0.360E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2H4                                                   C2H3       H                                            0.123E-05  0.000E+00  0.486E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 HCO                                                    H          CO                                           0.105E-08 -0.100E+01  0.855E+04  0.200E+01  0.100E+03  1.000e+00  1.500e+00  2.000e+00  6.000e+00  1.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H2CO                                                   HCO        H                                            0.440E-01 -0.554E+01  0.487E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H2CO                                                   H2         CO                                           0.102E+00 -0.554E+01  0.487E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH3O                                                   H2CO       H                                            0.257E-09  0.000E+00  0.679E+04  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH2OH                                                  H2CO       H                                            0.209E-07  0.000E+00  0.151E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH2CO                                                  1CH2       CO                                           0.109E-07  0.000E+00  0.290E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
